Time,j10,j11,j12,j13,j14,j15,vel_j1,vel_j2,vel_j3,vel_j4,vel_j5,vel_j6,vel_pct_j1,vel_pct_j2,vel_pct_j3,vel_pct_j4,vel_pct_j5,vel_pct_j6,TCP_X,TCP_Y,TCP_Z
5.030850427,-107.7719002,47.36205455,-27.77589692,34.51199259,32.60389135,60.56897638,-0.089009973,0.598677442,-0.187569014,-2.76938916,0.978062824,-0.200096713,1,1,1,1,1,1,-149.7637943,-547.2625533,175.0395862
5.041133903,-107.7731015,47.37013429,-27.77842835,34.47461698,32.61709127,60.56627588,-0.152752623,1.0274079,-0.321892682,-4.752629886,1.678482271,-0.343391833,2,2,2,2,2,2,-149.7838855,-547.2391606,174.9751328
5.051417379,-107.7750418,47.3831852,-27.78251728,34.41424548,32.63841262,60.56191386,-0.232198011,1.561754328,-0.489306427,-7.22443374,2.551447144,-0.521987111,3,3,3,3,3,3,-149.8163847,-547.2013292,174.8710283
5.061700854,-107.7778771,47.40225481,-27.78849189,34.3260324,32.66956676,60.5555402,-0.326242849,2.194296066,-0.687485316,-10.15047389,3.584834266,-0.73340233,5,5,5,5,5,5,-149.8639753,-547.1459491,174.7189247
5.07198433,-107.7817517,47.42831518,-27.79665675,34.20548118,32.71214173,60.54683001,-0.433807892,2.917774142,-0.914155073,-13.49717147,4.766784614,-0.975211316,6,6,6,6,6,6,-149.9292111,-547.0700707,174.5110818
5.082267806,-107.7867992,47.46226453,-27.80729328,34.04843673,32.76760498,60.53548307,-0.553837931,3.725091277,-1.167092078,-17.23169555,6.08570332,-1.245041936,8,8,8,8,8,8,-150.014539,-546.9708809,174.2403565
5.092551281,-107.7931424,47.50492895,-27.82066028,33.85107773,32.83730609,60.52122329,-0.685301799,4.609311882,-1.444123374,-21.32196318,7.530259673,-1.5405761,10,10,10,10,10,10,-150.1223219,-546.8456779,173.9001906
5.102834757,-107.8008937,47.55706403,-27.83699449,33.60990895,32.92247947,60.50379812,-0.827192369,5.563662057,-1.743126659,-25.73663934,9.089387115,-1.859549758,12,12,12,12,12,12,-150.2548608,-546.6918451,173.4845999
5.113118233,-107.8101552,47.61935652,-27.85651108,33.32175352,33.02424708,60.48297802,-0.978526554,6.581529596,-2.062030292,-30.445137,10.75228324,-2.199752904,15,15,15,15,15,15,-150.4144157,-546.5068253,172.988162
5.123401709,-107.821019,47.69242602,-27.87940417,32.98374529,33.14362116,60.45855591,-1.138345305,7.656463981,-2.398813289,-35.41761705,12.50840981,-2.559029573,17,17,17,17,17,17,-150.6032243,-546.2880942,172.4060046
5.133685184,-107.8335675,47.77682664,-27.90584736,32.59332111,33.28150693,60.43034658,-1.305713614,8.782176386,-2.751505326,-40.62498835,14.34749272,-2.935277844,20,20,20,20,20,20,-150.8235179,-546.0331351,171.7337928
5.14396866,-107.8478736,47.87304862,-27.93599424,32.14821313,33.43870534,60.39818619,-1.479720513,9.952539676,-3.118186737,-46.03890774,16.25952205,-3.326449837,22,22,22,22,22,22,-151.0775345,-545.7394129,170.9677168
5.154252136,-107.8640009,47.98152004,-27.96997895,31.64644113,33.61591573,60.36193165,-1.659479074,11.1615884,-3.496988513,-51.63177998,18.234752,-3.730551712,25,25,25,25,25,25,-151.3675279,-545.4043498,170.1044789
5.164535611,-107.882004,48.10260847,-28.00791664,31.08630482,33.8137386,60.32146011,-1.844126407,12.40351882,-3.886092306,-57.3767578,20.26370095,-4.145643674,28,28,28,28,28,28,-151.695773,-545.0253008,169.1412803
5.174819087,-107.9019289,48.23662261,-28.04990402,30.46637614,34.03267829,60.2766684,-2.032823664,13.67268885,-4.283730427,-63.2477419,22.33715143,-4.569839969,31,31,31,31,31,31,-152.0645667,-544.599531,168.0758079
5.185102563,-107.923813,48.38381399,-28.09601991,29.78549159,34.27314571,60.22747244,-2.224756036,14.96361814,-4.688185842,-69.21938091,24.44615012,-5.001308885,34,34,34,34,34,34,-152.4762241,-544.1241937,166.9062211
5.195386038,-107.9476854,48.54437862,-28.14632571,29.0427445,34.53546107,60.17380672,-2.419132752,16.27098799,-5.09779218,-75.26707144,26.58200786,-5.438272752,37,37,37,37,37,37,-152.93307,-543.5963098,165.6311388
