Time,X1,Y1,Z1,Rx1,Ry1,Rz1,j10,j11,j12,j13,j14,j15
0.0,1136.62137399,61.1226139224,1321.20798716,4.65325303681e-07,0.00015218586526,-89.9998051966,-66.1916503906,24.8360290527,-56.1869506836,0.000946044921875,-33.813079834,-23.8091430664
0.1,1151.41097061,74.8406577559,1351.03928233,-1.27806111091e-05,0.000129499601354,-92.5509559247,-63.9649103025,20.9469922527,-52.3628210125,0.000891781385857,-37.6372396665,-28.5869540497
0.2,1193.11869482,155.381424926,1470.57636142,9.72360354832e-07,5.84856045672e-05,-103.397752836,-54.4973990597,4.41183405273,-36.1036307961,0.000661067150255,-53.8965581213,-48.9009455394
0.3,1168.46559365,327.548052582,1621.80399719,6.11869428011e-05,0.0001143018227,-121.149289276,-39.0030062433,-22.6493681853,-9.49407379344,0.000283483528605,-80.506324997,-82.1465320233
0.4,1124.55604603,394.596032854,1661.01315571,2.58118479579e-05,0.000159536819907,-128.328818225,-32.7362911985,-33.5942851758,1.26817505227,0.000130769657593,-91.268658726,-95.5927263634
0.5,1097.63199022,423.532905853,1675.1617168,-7.06862409999e-06,0.000171947444853,-131.824992615,-29.7239597882,-38.8028787644,6.48163627677,5.67681653639e-05,-96.4821612006,-102.101228692
0.6,1144.2081624,382.025717847,1699.92299052,-4.10912209846e-06,0.00017149227992,-131.824999357,-32.7239023594,-29.5619852353,4.39283780452,8.46035972638e-05,-94.3933562257,-99.1012927486
0.7,1251.77003262,251.861798259,1717.13222912,-3.05839434772e-06,0.000168804977017,-131.825007137,-39.8924064707,-7.48043477741,-0.598444555339,0.000151117673211,-89.4020583277,-91.9328044756
0.8,1316.12450992,131.422733392,1687.49743856,-8.00868338758e-06,0.000166209737321,-131.825005329,-45.3198539564,9.23804004717,-4.37746490243,0.000201477085532,-85.6230262162,-86.5053689814
0.9,1328.09389814,100.768670123,1674.77452713,-1.11089615399e-05,0.000166472125855,-131.494507935,-46.6288754913,13.2702937072,-5.28890991211,0.00021579335372,-84.7115761988,-84.8658543244
1.0,1328.09385405,100.76867196,1674.77457391,2.53578390047e-05,0.00017556244217,-113.639874141,-46.6288624637,13.270267652,-5.28890991211,0.000333041393858,-84.7114589508,-67.0112446068
1.1,1328.0937963,100.768657556,1674.77463191,-5.68806492717e-06,0.000158190237884,-89.9998145917,-46.6288452148,13.2702331543,-5.28890991211,0.00048828125,-84.7113037109,-43.3712158203
1.2,1287.15956142,67.7314930525,1674.77448614,-2.50383949143e-05,0.000162311489144,-89.9998105059,-51.9144287109,13.0467834473,-5.34222412109,0.000518798828125,-84.6579589844,-38.0856323242
1.3,1303.55484892,35.9536023905,1602.18546429,-1.96898749354e-05,0.000152787896215,-89.9998144594,-52.5492671346,18.4910685502,-13.731615462,0.000535345298365,-76.268551097,-37.4508766329
1.4,1312.14185466,15.1140071865,1538.89692218,-7.70124760659e-06,0.000150409903528,-89.9998162438,-53.0849628831,23.0905203199,-20.8274393742,0.000549405759101,-69.1727132137,-36.9152509038
1.5,1306.76802489,27.5456278193,1458.05120049,-2.40817934559e-05,0.00013463934491,-89.9998270542,-52.7886817885,25.3437293846,-31.6514625478,0.000628727813772,-58.3486900401,-37.2116774221
1.6,1289.11871239,56.7700860561,1368.79803456,-6.6108723139e-06,0.000143863828344,-89.9998227605,-52.4307920129,28.0654706684,-44.7262325263,0.000724544093897,-45.2739200616,-37.5697428549
