Time,X1,Y1,Z1,Rx1,Ry1,Rz1,j10,j11,j12,j13,j14,j15
0.0,1988.30160238,794.901760622,1464.24936603,90.0000208812,-0.681021014946,0.0128431895695,-107.770599365,47.3560791016,-27.7742004395,34.5401611328,32.5935058594,60.5710144043
0.1,1988.30160238,794.901760622,1464.24936603,90.0000208812,-0.681021014946,0.0128431895695,-107.770599365,47.3560791016,-27.7742004395,34.5401611328,32.5935058594,60.5710144043
0.2,1988.30160238,794.901760622,1464.24936603,90.0000208812,-0.681021014946,0.0128431895695,-107.770599365,47.3560791016,-27.7742004395,34.5401611328,32.5935058594,60.5710144043
0.3,1988.30160238,794.901760622,1464.24936603,90.0000208812,-0.681021014946,0.0128431895695,-107.770599365,47.3560791016,-27.7742004395,34.5401611328,32.5935058594,60.5710144043
0.4,1988.30160238,794.901760622,1464.24936603,90.0000208812,-0.681021014946,0.0128431895695,-107.770599365,47.3560791016,-27.7742004395,34.5401611328,32.5935058594,60.5710144043
0.5,1988.30160238,794.901760622,1464.24936603,90.0000208812,-0.681021014946,0.0128431895695,-107.770599365,47.3560791016,-27.7742004395,34.5401611328,32.5935058594,60.5710144043
0.6,1988.30160238,794.901760622,1464.24936603,90.0000208812,-0.681021014946,0.0128431895695,-107.770599365,47.3560791016,-27.7742004395,34.5401611328,32.5935058594,60.5710144043
0.7,1988.30160238,794.901760622,1464.24936603,90.0000208812,-0.681021014946,0.0128431895695,-107.770599365,47.3560791016,-27.7742004395,34.5401611328,32.5935058594,60.5710144043
0.8,1988.30160238,794.901760622,1464.24936603,90.0000208812,-0.681021014946,0.0128431895695,-107.770599365,47.3560791016,-27.7742004395,34.5401611328,32.5935058594,60.5710144043
0.9,1988.30160238,794.901760622,1464.24936603,90.0000208812,-0.681021014946,0.0128431895695,-107.770599365,47.3560791016,-27.7742004395,34.5401611328,32.5935058594,60.5710144043
1.0,1988.30160238,794.901760622,1464.24936603,90.0000208812,-0.681021014946,0.0128431895695,-107.770599365,47.3560791016,-27.7742004395,34.5401611328,32.5935058594,60.5710144043
1.1,1988.30160238,794.901760622,1464.24936603,90.0000208812,-0.681021014946,0.0128431895695,-107.770599365,47.3560791016,-27.7742004395,34.5401611328,32.5935058594,60.5710144043
1.2,1988.30160238,794.901760622,1464.24936603,90.0000208812,-0.681021014946,0.0128431895695,-107.770599365,47.3560791016,-27.7742004395,34.5401611328,32.5935058594,60.5710144043
1.3,1988.30160238,794.901760622,1464.24936603,90.0000208812,-0.681021014946,0.0128431895695,-107.770599365,47.3560791016,-27.7742004395,34.5401611328,32.5935058594,60.5710144043
1.4,1988.30160238,794.901760622,1464.24936603,90.0000208812,-0.681021014946,0.0128431895695,-107.770599365,47.3560791016,-27.7742004395,34.5401611328,32.5935058594,60.5710144043
1.5,1988.30160238,794.901760622,1464.24936603,90.0000208812,-0.681021014946,0.0128431895695,-107.770599365,47.3560791016,-27.7742004395,34.5401611328,32.5935058594,60.5710144043
1.6,1988.30160238,794.901760622,1464.24936603,90.0000208812,-0.681021014946,0.0128431895695,-107.770599365,47.3560791016,-27.7742004395,34.5401611328,32.5935058594,60.5710144043
1.7,1988.30160238,794.901760622,1464.24936603,90.0000208812,-0.681021014946,0.0128431895695,-107.770599365,47.3560791016,-27.7742004395,34.5401611328,32.5935058594,60.5710144043
1.8,1988.30160238,794.901760622,1464.24936603,90.0000208812,-0.681021014946,0.0128431895695,-107.770599365,47.3560791016,-27.7742004395,34.5401611328,32.5935058594,60.5710144043
1.9,1988.30160238,794.901760622,1464.24936603,90.0000208812,-0.681021014946,0.0128431895695,-107.770599365,47.3560791016,-27.7742004395,34.5401611328,32.5935058594,60.5710144043
2.0,1988.30160238,794.901760622,1464.24936603,90.0000208812,-0.681021014946,0.0128431895695,-107.770599365,47.3560791016,-27.7742004395,34.5401611328,32.5935058594,60.5710144043
2.1,1988.30160238,794.901760622,1464.24936603,90.0000208812,-0.681021014946,0.0128431895695,-107.770599365,47.3560791016,-27.7742004395,34.5401611328,32.5935058594,60.5710144043
2.2,1988.30160238,794.901760622,1464.24936603,90.0000208812,-0.681021014946,0.0128431895695,-107.770599365,47.3560791016,-27.7742004395,34.5401611328,32.5935058594,60.5710144043
2.3,1988.30160238,794.901760622,1464.24936603,90.0000208812,-0.681021014946,0.0128431895695,-107.770599365,47.3560791016,-27.7742004395,34.5401611328,32.5935058594,60.5710144043
2.4,1988.30160238,794.901760622,1464.24936603,90.0000208812,-0.681021014946,0.0128431895695,-107.770599365,47.3560791016,-27.7742004395,34.5401611328,32.5935058594,60.5710144043
2.5,1988.30160238,794.901760622,1464.24936603,90.0000208812,-0.681021014946,0.0128431895695,-107.770599365,47.3560791016,-27.7742004395,34.5401611328,32.5935058594,60.5710144043
2.6,1988.30160238,794.901760622,1464.24936603,90.0000208812,-0.681021014946,0.0128431895695,-107.770599365,47.3560791016,-27.7742004395,34.5401611328,32.5935058594,60.5710144043
2.7,1988.30160238,794.901760622,1464.24936603,90.0000208812,-0.681021014946,0.0128431895695,-107.770599365,47.3560791016,-27.7742004395,34.5401611328,32.5935058594,60.5710144043
2.8,1988.30160238,794.901760622,1464.24936603,90.0000208812,-0.681021014946,0.0128431895695,-107.770599365,47.3560791016,-27.7742004395,34.5401611328,32.5935058594,60.5710144043
2.9,1988.30160238,794.901760622,1464.24936603,90.0000208812,-0.681021014946,0.0128431895695,-107.770599365,47.3560791016,-27.7742004395,34.5401611328,32.5935058594,60.5710144043
3.0,1988.30160238,794.901760622,1464.24936603,90.0000208812,-0.681021014946,0.0128431895695,-107.770599365,47.3560791016,-27.7742004395,34.5401611328,32.5935058594,60.5710144043
3.1,1988.30160238,794.901760622,1464.24936603,90.0000208812,-0.681021014946,0.0128431895695,-107.770599365,47.3560791016,-27.7742004395,34.5401611328,32.5935058594,60.5710144043
3.2,1988.30160238,794.901760622,1464.24936603,90.0000208812,-0.681021014946,0.0128431895695,-107.770599365,47.3560791016,-27.7742004395,34.5401611328,32.5935058594,60.5710144043
3.3,1988.30160238,794.901760622,1464.24936603,90.0000208812,-0.681021014946,0.0128431895695,-107.770599365,47.3560791016,-27.7742004395,34.5401611328,32.5935058594,60.5710144043
